"ID","Career","CrseCollege","UnitTakenPrgrssSixth"
"000377291","UGRD","Education","1.00"
"000377291","UGRD","Science & Technology","0.50"
"000377291","UGRD","Social Sciences","0.66"
"000380151","PBAC","Business and Economics","0.66"
"000392891","PBAC","Social Sciences","0.50"
"000401887","UGRD","Education","1.00"
"000401887","UGRD","Science & Technology","0.50"
"000401887","UGRD","Social Sciences","11.00"
"000405904","PBAC","Social Sciences","0.16"
"000411546","PBAC","Extended Education","0.10"
"000414406","UGRD","Science & Technology","1.83"
"000414406","UGRD","Social Sciences","0.16"
"000417708","UGRD","Arts and Humanities","0.16"
"000417708","UGRD","Business and Economics","5.33"
"000417708","UGRD","Social Sciences","1.50"
"000423415","PBAC","Social Sciences","3.33"
"000436870","UGRD","Extended Education","1.66"
"000438716","PBAC","Education","0.33"
"000451352","PBAC","Education","2.00"
"000452665","PBAC","Social Sciences","10.00"
"000455434","UGRD","Arts and Humanities","0.66"
"000455434","UGRD","Social Sciences","1.33"
"000464885","PBAC","Arts and Humanities","0.66"
"000465067","UGRD","Arts and Humanities","0.33"
"000468096","PBAC","Education","0.50"
"000468109","PBAC","Business and Economics","1.00"
"000478093","PBAC","Science & Technology","0.50"
"000479341","UGRD","Science & Technology","8.66"
"000481954","PBAC","Education","6.16"
"000487193","UGRD","Science & Technology","5.66"
"000487193","UGRD","University-wide","0.16"
"000503599","PBAC","Education","5.83"
"000503599","PBAC","Social Sciences","0.66"
"000505185","PBAC","Education","0.33"
"000505861","PBAC","Science & Technology","1.00"
"000506992","PBAC","Education","6.66"
"000510203","PBAC","Education","6.83"
"000510463","PBAC","Science & Technology","0.33"
"000511932","PBAC","Education","1.66"
"000513869","PBAC","Arts and Humanities","0.50"
"000513869","PBAC","Education","5.50"
"000515559","UGRD","Social Sciences","1.00"
"000518289","PBAC","Education","3.00"
"000521617","PBAC","Extended Education","1.33"
"000524009","UGRD","Arts and Humanities","0.66"
"000524009","UGRD","Business and Economics","1.33"
"000525556","PBAC","Education","3.66"
"000531588","PBAC","Social Sciences","2.16"
"000534149","PBAC","Extended Education","1.00"
"000543210","PBAC","Education","6.16"
"000543249","PBAC","Science & Technology","5.33"
"000543431","PBAC","Science & Technology","4.66"
"000546239","PBAC","Education","0.16"
"000556223","PBAC","Extended Education","3.33"
"000560071","PBAC","Extended Education","3.00"
"000562723","PBAC","Education","4.50"
"000567936","PBAC","Science & Technology","1.66"
"000570016","PBAC","Business and Economics","1.33"
"000570016","PBAC","Science & Technology","0.66"
"000600202","UGRD","Business and Economics","2.00"
"000600202","UGRD","Science & Technology","0.50"
"000602906","PBAC","Science & Technology","0.66"
"000605090","PBAC","Education","7.00"
"000606897","PBAC","Social Sciences","4.00"
"000607066","UGRD","Business and Economics","2.66"
"000608444","PBAC","Extended Education","1.66"
"000620066","PBAC","Education","0.16"
"000623277","PBAC","Education","1.66"
"000628945","PBAC","Education","4.83"
"000629582","PBAC","Extended Education","0.33"
"000633131","PBAC","Education","1.00"
"000636017","PBAC","Education","0.16"
"000648757","UGRD","Science & Technology","11.33"
"000648757","UGRD","Social Sciences","0.50"
"000658767","PBAC","Social Sciences","7.33"
"000658897","PBAC","Extended Education","3.33"
"000659118","PBAC","Education","3.50"
"000660470","PBAC","Social Sciences","4.33"
"000667256","UGRD","Education","0.66"
"000667256","UGRD","Social Sciences","1.33"
"000674042","PBAC","Education","5.16"
"000675862","PBAC","Extended Education","1.50"
"000679606","PBAC","Education","6.16"
"000680958","UGRD","Arts and Humanities","0.66"
"000680958","UGRD","Social Sciences","0.50"
"000686847","PBAC","Social Sciences","7.33"
"000707712","PBAC","Extended Education","5.00"
"000714680","PBAC","Science & Technology","0.33"
"000717319","PBAC","Education","3.16"
"000720647","PBAC","Education","5.50"
"000745139","UGRD","Arts and Humanities","0.16"
"000745139","UGRD","Social Sciences","13.33"
"000746673","PBAC","Social Sciences","2.66"
"000750950","PBAC","Social Sciences","7.33"
"000754603","PBAC","Education","0.16"
"000768409","UGRD","Arts and Humanities","0.66"
"000768409","UGRD","Social Sciences","2.00"
"000799739","PBAC","Science & Technology","1.66"
"000802911","UGRD","Science & Technology","1.16"
"000806642","PBAC","Education","4.50"
"000806980","PBAC","Arts and Humanities","1.33"
"000811335","PBAC","Social Sciences","5.50"
"000811335","UGRD","Social Sciences","1.00"
"000829314","UGRD","Education","0.50"
"000840299","PBAC","Education","5.83"
"000843835","PBAC","Business and Economics","2.00"
"000843835","PBAC","Science & Technology","0.66"
"000849373","PBAC","Science & Technology","0.66"
"000855249","PBAC","Education","0.16"
"000855938","PBAC","Education","2.50"
"000859019","PBAC","Education","1.00"
"000863452","PBAC","Extended Education","0.16"
"000875997","UGRD","Science & Technology","1.33"
"000875997","UGRD","Social Sciences","0.50"
"000878883","PBAC","Social Sciences","0.33"
"000880261","PBAC","Education","5.83"
"000880261","PBAC","Social Sciences","0.50"
"000885214","PBAC","Extended Education","3.33"
"000885227","PBAC","Education","6.50"
"000885851","PBAC","Education","4.50"
"000898201","PBAC","Education","6.66"
"000905182","UGRD","Science & Technology","0.16"
"000905182","UGRD","Social Sciences","1.33"
"000910811","PBAC","Education","2.00"
"000911422","UGRD","Science & Technology","1.16"
"000911422","UGRD","Social Sciences","0.66"
"000937175","UGRD","Extended Education","6.66"
"000943909","PBAC","Education","4.83"
"000944169","UGRD","Arts and Humanities","0.50"
"000944169","UGRD","Science & Technology","0.33"
"000944169","UGRD","Social Sciences","0.66"
"000951371","UGRD","Social Sciences","1.33"
"000952697","PBAC","Extended Education","0.16"
"000953360","PBAC","Science & Technology","0.66"
"000956584","PBAC","Education","3.16"
"000959704","PBAC","Science & Technology","0.66"
"000960900","UGRD","Education","0.50"
"000962395","PBAC","Social Sciences","7.33"
"000973536","PBAC","Science & Technology","1.66"
"000974862","UGRD","Arts and Humanities","0.33"
"000976591","UGRD","Business and Economics","5.33"
"000976591","UGRD","Science & Technology","0.33"
"000976591","UGRD","Social Sciences","0.66"
"000977839","PBAC","Education","6.50"
"000980296","PBAC","Arts and Humanities","0.66"
"000980296","PBAC","Education","2.00"
"000980296","PBAC","Social Sciences","1.33"
"000982857","PBAC","Science & Technology","0.33"
"000994245","PBAC","Education","5.16"
"000994310","PBAC","Education","2.50"
"000998314","PBAC","Science & Technology","0.50"
"001006075","PBAC","Extended Education","0.33"
"001007271","PBAC","Education","3.83"
"001009468","UGRD","Social Sciences","0.83"
"001014200","PBAC","Education","4.50"
"001017255","PBAC","Science & Technology","7.33"
"001019465","UGRD","Extended Education","6.66"
"001023898","PBAC","Education","6.00"
"001028708","UGRD","Social Sciences","4.66"
"001032933","UGRD","Education","0.50"
"001043541","PBAC","Education","1.00"
"001057113","PBAC","Education","2.50"
"001057165","UGRD","Arts and Humanities","5.83"
"001057165","UGRD","Education","1.50"
"001057165","UGRD","Science & Technology","1.66"
"001057165","UGRD","Social Sciences","0.50"
"001064887","PBAC","Science & Technology","0.66"
"001068722","PBAC","Arts and Humanities","4.33"
"001078979","PBAC","Extended Education","0.16"
"001080032","PBAC","Extended Education","0.16"
"001088170","UGRD","Social Sciences","9.50"
"001092434","PBAC","Education","0.50"
"001092434","PBAC","Science & Technology","0.16"
"001092434","PBAC","Social Sciences","6.00"
"001098245","PBAC","Social Sciences","1.66"
"001107917","PBAC","Social Sciences","2.66"
"001120176","UGRD","Science & Technology","0.50"
"001128054","PBAC","Education","0.33"
"001143797","PBAC","Extended Education","0.10"
"001145903","PBAC","Social Sciences","8.33"
"001150466","PBAC","Extended Education","3.00"
"001150973","UGRD","Social Sciences","1.33"
"001153976","UGRD","Social Sciences","2.00"
"001160190","PBAC","Arts and Humanities","1.33"
"001161178","PBAC","Education","0.50"
"001163167","PBAC","Social Sciences","2.00"
"001164012","PBAC","Extended Education","6.66"
"001166989","PBAC","Education","1.00"
"001167015","PBAC","Education","0.33"
"001168068","UGRD","Arts and Humanities","0.66"
"001168068","UGRD","Social Sciences","6.00"
"001168718","UGRD","Arts and Humanities","4.66"
"001168718","UGRD","Science & Technology","0.50"
"001168718","UGRD","Social Sciences","0.66"
"001169745","PBAC","Education","3.83"
"001177948","PBAC","Education","7.00"
"001177948","PBAC","Social Sciences","0.16"
"001180860","UGRD","Arts and Humanities","0.66"
"001180860","UGRD","Science & Technology","0.16"
"001180860","UGRD","Social Sciences","4.00"
"001180860","UGRD","University-wide","2.00"
"001263852","UGRD","Business and Economics","7.33"
"001263852","UGRD","Education","0.50"
"001263852","UGRD","Social Sciences","1.16"
"001267544","PBAC","Science & Technology","7.66"
"001269260","PBAC","Education","2.00"
"001270001","UGRD","Arts and Humanities","1.16"
"001270001","UGRD","Science & Technology","2.33"
"001270001","UGRD","Social Sciences","0.50"
"001270508","UGRD","Extended Education","5.00"
"001278360","PBAC","Extended Education","0.33"
"001279868","PBAC","Education","7.00"
"001280622","UGRD","Science & Technology","0.66"
"001288773","UGRD","Business and Economics","2.66"
"001288773","UGRD","Social Sciences","1.83"
"001291126","PBAC","Science & Technology","1.33"
"001292075","PBAC","Social Sciences","3.50"
"001295130","PBAC","Education","1.16"
"001295741","PBAC","Social Sciences","3.00"
"001296599","UGRD","Education","4.50"
"001296599","UGRD","Science & Technology","0.16"
"001296599","UGRD","Social Sciences","0.33"
"001301708","PBAC","Science & Technology","9.50"
"001301708","PBAC","Social Sciences","0.66"
"001302202","PBAC","Business and Economics","3.50"
"001305036","UGRD","Business and Economics","0.66"
"001305036","UGRD","Education","0.50"
"001305036","UGRD","Science & Technology","0.50"
"001306908","PBAC","Education","1.00"
"001306908","UGRD","Science & Technology","0.33"
"001306908","UGRD","Social Sciences","4.00"
"001314552","PBAC","Education","0.16"
"001320285","PBAC","Business and Economics","2.00"
"001324939","PBAC","Education","4.50"
"001332076","PBAC","Education","6.50"
"001332076","PBAC","Science & Technology","0.16"
"001332076","PBAC","Social Sciences","0.66"
"001332622","PBAC","Social Sciences","1.50"
"001339330","PBAC","Education","3.00"
"001356256","UGRD","Arts and Humanities","1.33"
"001359545","PBAC","Business and Economics","3.33"
"001359831","PBAC","Education","5.50"
"001359831","PBAC","University-wide","0.50"
"001364810","UGRD","Business and Economics","7.33"
"001369529","PBAC","Social Sciences","8.33"
"001371388","UGRD","Arts and Humanities","0.83"
"001371388","UGRD","Science & Technology","1.66"
"001380072","PBAC","Education","0.16"
"001384141","PBAC","Social Sciences","6.00"
"001390212","PBAC","Education","3.00"
"001393345","UGRD","Science & Technology","3.50"
"001393345","UGRD","Social Sciences","0.50"
"001395243","UGRD","Arts and Humanities","2.00"
"001395243","UGRD","Education","0.50"
"001395243","UGRD","Science & Technology","0.66"
"001395243","UGRD","Social Sciences","2.00"
"001400144","UGRD","Business and Economics","4.66"
"001400144","UGRD","Social Sciences","1.83"
"001401561","PBAC","Education","1.50"
"001404109","PBAC","Arts and Humanities","6.83"
"001404109","UGRD","Arts and Humanities","3.33"
"001407619","UGRD","Arts and Humanities","1.33"
"001407619","UGRD","Education","0.50"
"001407619","UGRD","Social Sciences","0.66"
"001413053","UGRD","Business and Economics","2.00"
"001413053","UGRD","Science & Technology","0.66"
"001418435","PBAC","Science & Technology","0.33"
"001419553","PBAC","Education","2.83"
"001423492","UGRD","Extended Education","3.33"
"001426092","PBAC","Education","0.33"
"001426248","PBAC","Education","4.16"
"001427678","UGRD","Social Sciences","2.33"
"001427951","PBAC","Arts and Humanities","1.16"
"001427951","PBAC","Social Sciences","5.16"
"001427951","UGRD","Social Sciences","3.16"
"001428341","PBAC","Extended Education","0.66"
"001428523","UGRD","Arts and Humanities","3.33"
"001428523","UGRD","Science & Technology","0.16"
"001428523","UGRD","Social Sciences","0.50"
"001431019","UGRD","Education","1.00"
"001439287","PBAC","Education","4.83"
"001442836","UGRD","Social Sciences","4.33"
"001442875","PBAC","Extended Education","0.33"
"001445670","PBAC","Education","1.83"
"001452482","PBAC","Education","0.66"
"001454263","PBAC","Social Sciences","0.83"
"001461270","UGRD","Arts and Humanities","2.33"
"001462076","UGRD","Social Sciences","5.33"
"001464767","PBAC","Education","0.33"
"001464832","PBAC","Education","0.50"
"001482213","PBAC","Social Sciences","3.66"
"001491105","PBAC","Arts and Humanities","0.33"
"001503923","PBAC","Arts and Humanities","0.16"
"001508018","PBAC","Science & Technology","9.50"
"001512308","PBAC","Extended Education","0.66"
"001514843","PBAC","Education","3.00"
"001527973","UGRD","Social Sciences","9.00"
"001530300","PBAC","Science & Technology","1.33"
"001535552","PBAC","Extended Education","1.83"
"001542858","PBAC","Education","1.00"
"001550021","PBAC","Education","0.16"
"001553323","PBAC","Education","4.50"
"001557054","PBAC","Education","0.33"
"001558627","PBAC","Education","4.83"
"001568520","PBAC","Social Sciences","0.16"
"001568598","PBAC","Education","7.33"
"001570964","PBAC","Science & Technology","0.66"
"001579297","PBAC","Science & Technology","5.83"
"001593298","PBAC","Education","3.16"
"001594988","UGRD","Arts and Humanities","0.66"
"001594988","UGRD","Science & Technology","1.00"
"001596002","UGRD","Extended Education","3.33"
"001597406","PBAC","Business and Economics","2.33"
"001603438","PBAC","Social Sciences","6.33"
"001604426","UGRD","Arts and Humanities","0.16"
"001604426","UGRD","Education","5.00"
"001604426","UGRD","Science & Technology","0.50"
"001604426","UGRD","Social Sciences","0.16"
"001612694","UGRD","Extended Education","5.00"
"001615684","PBAC","Education","1.00"
"001624992","PBAC","Business and Economics","4.00"
"001631895","PBAC","Social Sciences","1.00"
"001633351","PBAC","Science & Technology","0.66"
"001640254","UGRD","Extended Education","1.66"
"001640488","UGRD","Arts and Humanities","0.66"
"001640488","UGRD","Social Sciences","6.50"
"001642464","UGRD","Science & Technology","7.66"
"001645571","UGRD","Science & Technology","1.66"
"001646585","PBAC","Education","1.00"
"001647248","PBAC","Education","1.00"
"001647352","UGRD","University-wide","2.50"
"001648054","UGRD","Business and Economics","4.66"
"001648054","UGRD","Social Sciences","2.00"
"001651564","PBAC","Arts and Humanities","1.33"
"001651564","PBAC","Education","2.50"
"001651564","PBAC","Social Sciences","1.00"
"001652214","UGRD","Extended Education","5.00"
"001653462","PBAC","Science & Technology","6.33"
"001653514","UGRD","Arts and Humanities","8.00"
"001653514","UGRD","Education","0.50"
"001653514","UGRD","Science & Technology","0.83"
"001653514","UGRD","Social Sciences","1.00"
"001658688","PBAC","Education","3.16"
"001659793","UGRD","Arts and Humanities","5.66"
"001659793","UGRD","Education","0.50"
"001659793","UGRD","Science & Technology","1.00"
"001668243","PBAC","Extended Education","1.33"
"001669361","UGRD","Arts and Humanities","0.16"
"001669361","UGRD","Extended Education","5.00"
"001670414","PBAC","Business and Economics","2.50"
"001675965","PBAC","Education","7.00"
"001676979","PBAC","Social Sciences","7.33"
"001677512","PBAC","Science & Technology","1.33"
"001683843","PBAC","Education","2.66"
"001691916","PBAC","Extended Education","5.00"
"001692241","UGRD","Arts and Humanities","0.66"
"001692241","UGRD","Science & Technology","7.83"
"001692241","UGRD","Social Sciences","2.66"
"001693424","PBAC","Education","0.33"
